"pVal","phase","peak.shape","period","cruise","pop","param","first_peak"
0.00177836519198535,23,7,24,"KOK1515","picoeuk","abundance",2015-10-13 21:00:00
4.07217087910108e-06,6,12,24,"KOK1515","picoeuk","Qc",2015-10-13 04:00:00
0.029831298861515,17,16,24,"KM1518","picoeuk","abundance",2015-11-13 13:00:00
1.97196261153576e-05,12,10,24,"KM1518","picoeuk","Qc",2015-11-13 08:00:00
1.48129237875405e-11,23,11,24,"KM1601","picoeuk","abundance",2016-01-12 19:00:00
1.99392670170996e-15,12,9,24,"KM1601","picoeuk","Qc",2016-01-12 08:00:00
3.73384260685512e-13,21,12,24,"KM1602","picoeuk","abundance",2016-02-09 17:00:00
5.41530163207713e-17,10,12,24,"KM1602","picoeuk","Qc",2016-02-09 06:00:00
1.17367733827298e-09,7,16,24,"KOK1604","picoeuk","abundance",2016-04-13 21:00:00
6.48135489499958e-21,17,16,24,"KOK1604","picoeuk","Qc",2016-04-14 07:00:00
0.828578915350295,11,17,24,"KOK1608","picoeuk","abundance",2016-07-10 21:00:00
5.47699837293107e-28,21,13,24,"KOK1608","picoeuk","Qc",2016-07-11 07:00:00
5.02799575165559e-14,4,9,24,"KOK1609","picoeuk","abundance",2016-08-08 14:00:00
5.90093859072502e-23,21,12,24,"KOK1609","picoeuk","Qc",2016-08-09 07:00:00
2.04097939002967e-10,22,12,24,"KM1708","picoeuk","abundance",2017-06-20 18:00:00
7.09839730074928e-25,11,11,24,"KM1708","picoeuk","Qc",2017-06-20 07:00:00
0.0999972051480866,1,11,24,"KM1717","picoeuk","abundance",2017-11-07 20:00:00
7.03363784037915e-16,12,8,24,"KM1717","picoeuk","Qc",2017-11-08 07:00:00
2.61396227574663e-07,22,12,24,"KM1802","picoeuk","abundance",2018-01-17 17:00:00
2.77684876110218e-14,13,10,24,"KM1802","picoeuk","Qc",2018-01-17 08:00:00
0.0793239236809205,13,17,24,"KOK1801","picoeuk","abundance",2018-04-17 13:00:00
2.13253227445819e-13,7,9,24,"KOK1801","picoeuk","Qc",2018-04-17 07:00:00
0.841859585556711,23,7,24,"KOK1803","picoeuk","abundance",2018-05-15 22:00:00
3.01949050157676e-09,9,8,24,"KOK1803","picoeuk","Qc",2018-05-15 08:00:00
4.46055887839003e-06,16,12,24,"KOK1804","picoeuk","abundance",2018-06-26 14:00:00
8.1550780059686e-27,9,10,24,"KOK1804","picoeuk","Qc",2018-06-26 07:00:00
0.000118429769108638,16,17,24,"KOK1807","picoeuk","abundance",2018-07-24 13:00:00
2.26990820991276e-32,10,12,24,"KOK1807","picoeuk","Qc",2018-07-24 07:00:00
0.00328146614190204,1,7,24,"KM1821","picoeuk","abundance",2018-11-15 20:00:00
6.71412788272599e-26,13,10,24,"KM1821","picoeuk","Qc",2018-11-16 08:00:00
1.59232460424274e-13,23,8,24,"KM1901","picoeuk","abundance",2019-01-15 19:00:00
1.54546264774132e-17,13,9,24,"KM1901","picoeuk","Qc",2019-01-15 09:00:00
9.02151731916374e-09,22,10,24,"KM1903","picoeuk","abundance",2019-02-19 18:00:00
2.86136818390254e-16,11,11,24,"KM1903","picoeuk","Qc",2019-02-19 07:00:00
0.0128729263363948,5,17,24,"KM1909","picoeuk","abundance",2019-06-11 02:00:00
3.85832883301808e-27,9,12,24,"KM1909","picoeuk","Qc",2019-06-11 06:00:00
0.229087027132334,9,15,24,"KM1912","picoeuk","abundance",2019-07-01 05:00:00
2.40649931714316e-23,10,13,24,"KM1912","picoeuk","Qc",2019-07-01 06:00:00
0.27964037049036,8,16,24,"KM1915","picoeuk","abundance",2019-08-02 06:00:00
1.9820271762091e-07,11,7,24,"KM1915","picoeuk","Qc",2019-08-02 09:00:00
1.41020914423854e-20,22,12,24,"KM1917","picoeuk","abundance",2019-09-04 18:00:00
1.40570766158431e-31,11,11,24,"KM1917","picoeuk","Qc",2019-09-04 07:00:00
7.1260267240759e-09,21,9,24,"HOT318","picoeuk","abundance",2020-01-07 17:00:00
1.34607767911958e-16,12,10,24,"HOT318","picoeuk","Qc",2020-01-07 08:00:00
2.69003180001331e-18,22,12,24,"HOT319","picoeuk","abundance",2020-01-30 19:00:00
4.91454102019939e-33,12,9,24,"HOT319","picoeuk","Qc",2020-01-30 09:00:00
0.000395207397299989,22,17,24,"HOT321","picoeuk","abundance",2020-08-07 16:00:00
1.01346960799436e-28,14,9,24,"HOT321","picoeuk","Qc",2020-08-07 08:00:00
0.0101331098958913,13,12,24,"HOT322","picoeuk","abundance",2020-09-02 21:00:00
8.64564833879491e-35,24,10,24,"HOT322","picoeuk","Qc",2020-09-03 08:00:00
0.937480811072765,23,8,24,"HOT323","picoeuk","abundance",2020-09-26 23:00:00
7.63322635377142e-13,8,9,24,"HOT323","picoeuk","Qc",2020-09-26 08:00:00
8.76651631588785e-15,20,9,24,"HOT324","picoeuk","abundance",2020-11-18 20:00:00
1.73798052170917e-43,8,10,24,"HOT324","picoeuk","Qc",2020-11-18 08:00:00
7.03757519947529e-09,23,12,24,"HOT325","picoeuk","abundance",2020-12-18 18:00:00
1.10820244448095e-09,13,9,24,"HOT325","picoeuk","Qc",2020-12-18 08:00:00
0.00295016413480924,2,9,24,"HOT326","picoeuk","abundance",2021-01-11 21:00:00
1.54255483692938e-13,14,10,24,"HOT326","picoeuk","Qc",2021-01-12 09:00:00
0.000274152019008685,11,8,24,"KM1427","croco","abundance",2014-12-09 09:00:00
2.45959971832794e-13,9,10,24,"KM1427","croco","Qc",2014-12-09 07:00:00
0.868383355975478,7,16,24,"KM1508","croco","abundance",2015-05-23 02:00:00
0.0012174338990979,14,7,24,"KM1508","croco","Qc",2015-05-23 09:00:00
0.205023550023141,12,7,24,"KM1512","croco","abundance",2015-07-19 08:00:00
0.0145132413455142,15,14,24,"KM1512","croco","Qc",2015-07-19 11:00:00
0.00791610606564874,9,7,24,"KOK1515","croco","abundance",2015-10-13 07:00:00
7.84465231389299e-06,8,10,24,"KOK1515","croco","Qc",2015-10-13 06:00:00
1.58283788816093e-10,13,9,24,"KM1518","croco","abundance",2015-11-13 09:00:00
0.624271057057988,8,15,24,"KM1518","croco","Qc",2015-11-13 04:00:00
4.19135024253619e-06,13,7,24,"KM1601","croco","abundance",2016-01-12 09:00:00
1.38940484985921e-06,12,15,24,"KM1601","croco","Qc",2016-01-12 08:00:00
1.72736038465759e-06,9,15,24,"KM1602","croco","abundance",2016-02-09 05:00:00
0.420026738263552,15,14,24,"KM1602","croco","Qc",2016-02-09 11:00:00
0.000110972141207356,18,14,24,"KOK1604","croco","abundance",2016-04-14 08:00:00
0.175001412567341,6,13,24,"KOK1604","croco","Qc",2016-04-13 20:00:00
0.85681857490611,23,10,24,"KOK1608","croco","abundance",2016-07-11 09:00:00
0.745711336674718,19,13,24,"KOK1608","croco","Qc",2016-07-11 05:00:00
3.10266840720422e-09,21,7,24,"KOK1609","croco","abundance",2016-08-09 07:00:00
2.63342726982793e-17,1,12,24,"KOK1609","croco","Qc",2016-08-08 11:00:00
3.84984024345678e-09,9,7,24,"KM1708","croco","abundance",2017-06-20 05:00:00
1.39161603212842e-29,11,15,24,"KM1708","croco","Qc",2017-06-20 07:00:00
0.000664948149006471,13,7,24,"KM1717","croco","abundance",2017-11-08 08:00:00
1.22447034060811e-20,13,9,24,"KM1717","croco","Qc",2017-11-08 08:00:00
0.228156810688496,4,14,24,"KM1802","croco","abundance",2018-01-16 23:00:00
