"pVal","phase","peak.shape","period","cruise","pop","param","first_peak","peak_hour"
5.09502183301096e-08,21,7,24,"KM1512","euk","abundance",2015-07-20 03:00:00,17
4.98918865760277e-22,23,10,24,"KM1512","euk","Qc",2015-07-20 05:00:00,19
0.029831298861515,17,16,24,"KM1518","euk","abundance",2015-11-13 23:00:00,13
1.97196261153576e-05,22,14,24,"KM1518","euk","Qc",2015-11-14 04:00:00,18
1.48129237875405e-11,23,11,24,"KM1601","euk","abundance",2016-01-13 05:00:00,19
1.99392670170996e-15,21,15,24,"KM1601","euk","Qc",2016-01-13 03:00:00,17
3.73384260685512e-13,21,12,24,"KM1602","euk","abundance",2016-02-10 03:00:00,17
5.34631689791055e-17,22,12,24,"KM1602","euk","Qc",2016-02-10 04:00:00,18
2.94684718570243e-11,10,11,24,"KOK1604","euk","abundance",2016-04-14 05:00:00,19
8.95305251449845e-21,9,8,24,"KOK1604","euk","Qc",2016-04-14 04:00:00,18
0.828578915350295,11,17,24,"KOK1608","euk","abundance",2016-07-11 07:00:00,21
5.47699837293107e-28,10,11,24,"KOK1608","euk","Qc",2016-07-11 06:00:00,20
5.02799575165559e-14,4,9,24,"KOK1609","euk","abundance",2016-08-09,14
5.90093859072502e-23,9,12,24,"KOK1609","euk","Qc",2016-08-09 05:00:00,19
2.04097939002967e-10,22,12,24,"KM1708","euk","abundance",2017-06-21 04:00:00,18
7.09839730074928e-25,22,13,24,"KM1708","euk","Qc",2017-06-21 04:00:00,18
0.0999972051480866,1,11,24,"KM1717","euk","abundance",2017-11-08 06:00:00,20
7.03363784037915e-16,20,16,24,"KM1717","euk","Qc",2017-11-09 01:00:00,15
2.61396227574663e-07,22,12,24,"KM1802","euk","abundance",2018-01-18 03:00:00,17
2.77684876110218e-14,23,14,24,"KM1802","euk","Qc",2018-01-18 04:00:00,18
0.0793239236809205,13,17,24,"KOK1801","euk","abundance",2018-04-17 23:00:00,13
2.13253227445819e-13,16,15,24,"KOK1801","euk","Qc",2018-04-18 02:00:00,16
0.841859585556711,23,7,24,"KOK1803","euk","abundance",2018-05-16 08:00:00,22
3.01949050157676e-09,17,16,24,"KOK1803","euk","Qc",2018-05-16 02:00:00,16
4.46055887839003e-06,16,12,24,"KOK1804","euk","abundance",2018-06-27,14
8.1550780059686e-27,19,14,24,"KOK1804","euk","Qc",2018-06-27 03:00:00,17
0.000118429769108638,16,17,24,"KOK1807","euk","abundance",2018-07-24 23:00:00,13
2.26990820991276e-32,22,12,24,"KOK1807","euk","Qc",2018-07-25 05:00:00,19
0.00328146614190204,1,7,24,"KM1821","euk","abundance",2018-11-16 06:00:00,20
6.71412788272599e-26,23,14,24,"KM1821","euk","Qc",2018-11-17 04:00:00,18
1.59232460424274e-13,23,8,24,"KM1901","euk","abundance",2019-01-16 05:00:00,19
1.54546264774132e-17,22,15,24,"KM1901","euk","Qc",2019-01-16 04:00:00,18
9.02151731916374e-09,22,10,24,"KM1903","euk","abundance",2019-02-20 04:00:00,18
2.86136818390254e-16,22,13,24,"KM1903","euk","Qc",2019-02-20 04:00:00,18
0.0128729263363948,5,17,24,"KM1909","euk","abundance",2019-06-11 12:00:00,2
3.85832883301808e-27,21,12,24,"KM1909","euk","Qc",2019-06-12 04:00:00,18
0.229087027132334,9,15,24,"KM1912","euk","abundance",2019-07-01 15:00:00,5
2.40649931714316e-23,23,11,24,"KM1912","euk","Qc",2019-07-02 05:00:00,19
0.27964037049036,8,16,24,"KM1915","euk","abundance",2019-08-02 16:00:00,6
1.9820271762091e-07,18,17,24,"KM1915","euk","Qc",2019-08-03 02:00:00,16
1.41020914423854e-20,22,12,24,"KM1917","euk","abundance",2019-09-05 04:00:00,18
1.40570766158431e-31,22,13,24,"KM1917","euk","Qc",2019-09-05 04:00:00,18
2.71561976832991e-11,21,13,24,"KM2001","euk","abundance",2020-01-08 03:00:00,17
1.54628866758239e-17,22,12,24,"KM2001","euk","Qc",2020-01-08 04:00:00,18
8.64666487273197e-18,22,12,24,"KM2002","euk","abundance",2020-01-31 05:00:00,19
1.91602566949556e-35,22,13,24,"KM2002","euk","Qc",2020-01-31 05:00:00,19
7.5368009539202e-06,22,10,24,"KM2009","euk","abundance",2020-08-08 02:00:00,16
5.87288800360396e-19,24,13,24,"KM2009","euk","Qc",2020-08-08 04:00:00,18
1.40379021634459e-05,1,8,24,"KM2010","euk","abundance",2020-08-31 07:00:00,21
2.16467344993243e-52,22,14,24,"KM2010","euk","Qc",2020-09-01 04:00:00,18
0.566616501978823,12,17,24,"KM2011","euk","abundance",2020-09-26 22:00:00,12
2.81414089060912e-11,17,14,24,"KM2011","euk","Qc",2020-09-27 03:00:00,17
2.41642473404074e-13,21,7,24,"KM2013","euk","abundance",2020-11-19 07:00:00,21
4.93473974546288e-37,18,12,24,"KM2013","euk","Qc",2020-11-19 04:00:00,18
7.27946904003102e-05,2,7,24,"KM2014","euk","abundance",2020-12-18 07:00:00,21
1.72498494863595e-09,22,15,24,"KM2014","euk","Qc",2020-12-19 03:00:00,17
0.00350230097978955,20,17,24,"KM2101","euk","abundance",2021-01-13 01:00:00,15
8.84411160478097e-19,22,16,24,"KM2101","euk","Qc",2021-01-13 03:00:00,17
0.000274152019008685,11,8,24,"KM1427","croco","abundance",2014-12-09 19:00:00,9
2.45959971832794e-13,19,14,24,"KM1427","croco","Qc",2014-12-10 03:00:00,17
0.868383355975478,7,16,24,"KM1508","croco","abundance",2015-05-23 12:00:00,2
0.0012174338990979,21,17,24,"KM1508","croco","Qc",2015-05-24 02:00:00,16
0.205023550023141,12,7,24,"KM1512","croco","abundance",2015-07-19 18:00:00,8
0.0145132413455142,5,10,24,"KM1512","croco","Qc",2015-07-19 11:00:00,1
