"pVal","phase","peak.shape","period","cruise","pop","param","first_peak"
0.000348092259559429,17,17,24,"KM1912","croco","abundance",2019-07-01 23:00:00
5.71523092526738e-14,2,8,24,"KM1912","croco","Qc",2019-07-01 08:00:00
0.000140431474018152,16,16,24,"KM1915","croco","abundance",2019-08-03 00:00:00
1.2809110187611e-16,23,13,24,"KM1915","croco","Qc",2019-08-03 07:00:00
2.39766474569867e-17,14,17,24,"KM1917","croco","abundance",2019-09-04 20:00:00
1.33454627892844e-35,2,10,24,"KM1917","croco","Qc",2019-09-04 08:00:00
3.13518197126547e-08,20,17,24,"KM2001","croco","abundance",2020-01-08 02:00:00
0.870290138590613,13,13,24,"KM2001","croco","Qc",2020-01-07 19:00:00
0.917606916373761,14,16,24,"KM2002","croco","abundance",2020-01-30 21:00:00
0.853708145976811,12,12,24,"KM2002","croco","Qc",2020-01-30 19:00:00
3.74553257749409e-20,21,17,24,"KM2009","croco","abundance",2020-08-08 01:00:00
1.17083147504241e-28,4,12,24,"KM2009","croco","Qc",2020-08-07 08:00:00
2.31200969662513e-08,13,17,24,"KM2011","croco","abundance",2020-09-26 23:00:00
1.80850523467619e-20,22,9,24,"KM2011","croco","Qc",2020-09-27 08:00:00
4.35199611566059e-08,17,11,24,"KM2013","croco","abundance",2020-11-19 03:00:00
3.35098294416316e-07,20,9,24,"KM2013","croco","Qc",2020-11-19 06:00:00
0.00231299986821579,23,8,24,"KM2014","croco","abundance",2020-12-19 04:00:00
0.387687805211768,4,17,24,"KM2014","croco","Qc",2020-12-18 09:00:00
1.52111339265021e-07,21,16,24,"KM2101","croco","abundance",2021-01-13 02:00:00
0.118540393771162,12,7,24,"KM2101","croco","Qc",2021-01-12 17:00:00
